grade,module,skill,topic,standard,teaching_point,grammar_ref,vocab_list,example
3,All,Grammar,Core grammar for Grade 3,"Use 'be', 'have got', Present Progressive and Present Simple to talk about self, family, actions now and daily routines.","Introduce and practise verb 'be' (I am/I'm, You are/You're, He/She/It is/He's/She's), verb 'have got' for possession, Present Progressive for actions happening now, and Present Simple with adverbs of frequency for daily routines.",I am nine. I'm nine. She has got a bike. She hasn't got a bike. They are playing football. They always go to school at seven o'clock.,"family, everyday activities, toys, places in town, feelings",I have got a red bike and I always ride it after school.
3,All,Vocabulary,Core vocabulary for Grade 3,"Recognise and use everyday words about people, family, free time, school and places in town.","Teach high‑frequency words for family members, physical appearance, common actions, free‑time activities, animals and basic places in town using pictures and simple sentences.",Use simple sentences with be/can/have got to recycle vocabulary.,"mother, father, sister, brother, teacher, tall, short, hungry, tired, park, school, supermarket, play, swim, read",My brother is tall and he likes to play in the park.
3,All,ReadingComprehension,"Short texts about self, family and daily life",Understand the main idea and simple details in short illustrated texts about familiar topics.,"Ask learners to match sentences to pictures, choose True/False and answer simple WH‑questions about who, where and what in short texts.","Texts mainly use Present Simple, Present Progressive and be/have got.","who, where, what, family, school, play, favourite",Who is in the picture? Where are they? What are they doing?
3,All,Writing,Guided sentences and short paragraphs,"Write simple sentences and a short paragraph about themselves, their family and daily routines.","Support learners to write 3–5 linked sentences using models and word banks. Focus on capital letters, full stops and using I/He/She correctly.","Use 'I am…', 'I have got…', 'I like…', 'I always…' to begin sentences.","name, age, family, like, don’t like, always, sometimes",I am nine years old. I have got one sister. I always do my homework in the afternoon.
3,All,LanguageFunction,"Greetings, introductions and classroom language","Use simple language functions such as greeting, introducing, asking for things and expressing likes.","Practise fixed expressions: Hello, how are you? What’s your name? This is my friend… Can I have a pencil, please? I like…, I don’t like…",Use question forms with be/can and fixed chunks for politeness.,"hello, hi, please, thank you, sorry, my name is…, this is…","Hello, my name is Omar. This is my friend Sara."
3,All,Phonics,Basic consonant blends and long/short vowels,Recognise and pronounce common consonant blends and basic vowel sounds in familiar words.,"Focus on blends such as /pl/, /bl/, /gr/, /sm/, /sn/ and word families from the syllabus. Link sounds to pictures and words from the units.",Not applicable – focus on sound–spelling patterns.,"plane, blue, green, smile, snake, swim, school, shop, chair","Students read and circle the words that start with /pl/: plane, plum, play."
4,All,Grammar,Core grammar for Grade 4,"Use Present Simple and Present Progressive, have to/don’t have to, there is/are, and Past Simple for basic stories.","Contrast Present Simple for routines with Present Progressive for actions now, use have to/don’t have to for rules, there is/there are for describing places, and introduce Past Simple of common regular and irregular verbs.","She usually goes to school by bus, but today she is walking. You have to wear a helmet. There are some apples. Yesterday we went to the park.","daily routines, school subjects, food, sports and past time expressions","She usually walks to school, but today she is going by car."
4,All,Vocabulary,Core vocabulary for Grade 4,"Use vocabulary for school life, hobbies, food, sports and places around town.","Teach topic‑based word sets: school subjects, favourite activities, food and drink, sports and sports equipment, and places in town. Recycle in simple questions and descriptions.",Use Present Simple and there is/are sentences to recycle vocabulary.,"maths, science, English, art, favourite, play football, read comics, cheese, bread, juice, helmet, racket, museum, library",My favourite subject is English and I like playing football after school.
4,All,ReadingComprehension,"Texts about routines, favourites, trips and sports","Understand short texts about daily routines, favourites, free time, food and sports, and find specific details.","Use short paragraphs, timetables and menus. Ask learners to answer WH‑questions, choose True/False and match headings or pictures to paragraphs.","Texts mainly use Present Simple, with some Present Progressive and Past Simple.","timetable, favourite, weekend, always, never, yesterday, price, menu",Read the text about Rashid’s day and answer: What time does he get up? What does he usually do after school?
4,All,Writing,"Short paragraphs about routines, favourites and past events","Write linked sentences and short paragraphs to describe routines, likes and simple past events.","Support learners to write 5–7 sentences using models and planning prompts. Encourage the use of sequencing words (first, then, after that, finally) and basic connectors (and, but, because).","Use Present Simple for routines, and Past Simple verbs for a day in the past.","first, then, after that, finally, yesterday, last weekend, because","First I get up at seven, then I have breakfast. After that I go to school. At the weekend I played football with my friends."
